Rank,Dutch,English,,Notes
1,ik,I,,"1) This list was created using public/free subtitles, particularly from opensubtitles.org."
2,je,you,,The order is based on the number of occurences of each word in the subtitles.
3,het,the,,
4,de,the,,2) The English translation is by Google and can be un-reliable for some words.
5,is,is,,
6,dat,Which,,3) You can change the translation from English to another language.
7,een,a,,To do this you will first need to make a copy of this spreadsheet.  (File > Make a copy...)
8,niet,not,,"Then replace the ""en"" in the function in the cells in Column C with your desired language code."
9,en,and,,"e.g. Replace ""en"" with ""sv"" for Swedish."
10,wat,what,,List of supported languages:
11,van,from,,https://cloud.google.com/translate/v2/using_rest?hl=en#language-params
12,we,we,,
13,in,in,,4) The original source of this list can be found here:
14,ze,they,,https://invokeit.wordpress.com/frequency-word-lists/
15,op,on,,
16,te,to,,5) It is licensed under the following Creative Commons license:
17,hij,he,,http://creativecommons.org/licenses/by-sa/3.0/
18,zijn,to be,,
19,er,there,,6) More Most Common word lists (other languages) can be found here:
20,maar,but,,http://www.101languages.net/common-words/
21,me,me,,
22,die,That,,
23,heb,have got,,
24,voor,in front of,,
25,met,with,,
26,als,as,,
27,ben,am,,
28,was,used to be,,
29,mijn,my,,
30,u,you,,
31,dit,this,,
32,aan,to,,
33,om,to,,
34,hier,here,,
35,naar,to,,
36,dan,then,,
37,jij,you,,
38,zo,so,,
39,weet,know,,
40,ja,Yes,,
41,kan,can,,
42,geen,no,,
43,nog,yet,,
44,wel,well,,
45,wil,want,,
46,moet,must,,
47,goed,good,,
48,hem,him,,
49,hebben,to have,,
50,nee,No,,
51,heeft,has,,
52,waar,true,,
53,nu,now,,
54,hoe,how,,
55,ga,ga,,
56,kom,bowl,,
57,uit,from,,
58,gaan,to go,,
59,bent,are,,
60,haar,her,,
61,doen,to do,,
62,ook,also,,
63,mij,me,,
64,over,about,,
65,of,or,,
66,daar,over there,,
67,zou,would,,
68,al,already,,
69,jullie,you,,
70,zal,shall,,
71,bij,at,,
72,ons,U.S,,
73,gaat,is going,,
74,hebt,have,,
75,meer,more,,
76,waarom,why,,
77,iets,something,,
78,deze,this one,,
79,laat,late,,
80,had,had,,
81,doe,do,,
82,m,m,,
83,moeten,should,,
84,wie,Who,,
85,jou,you,,
86,alles,everything,,
87,denk,think,,
88,kunnen,being able,,
89,eens,once,,
90,echt,really,,
91,weg,away,,
92,door,by,,
93,man,man,,
94,toch,yet,,
95,zien,see,,
96,oké,all right,,
97,alleen,only,,
98,nou,Well,,
99,dus,So,,
100,nooit,never,,
101,terug,back,,
102,laten,leave,,
103,mee,it,,
104,even,for a bit,,
105,hou,love,,
106,komt,coming,,
107,niets,nothing,,
108,zei,said,,
109,misschien,perhaps,,
110,kijk,look,,
111,iemand,someone,,
112,komen,come,,
113,tot,until,,
114,veel,a lot of,,
115,worden,to become,,
116,onze,our,,
117,mensen,people,,
118,zeg,say,,
119,leven,life,,
120,zeggen,say,,
121,weer,weather,,
122,gewoon,just,,
123,nodig,required,,
124,wij,we,,
125,twee,two,,
126,tijd,time,,
127,tegen,against,,
128,uw,your,,
129,toen,then,,
130,zit,is,,
131,net,just,,
132,weten,know,,
133,heel,very,,
134,maken,to make,,
135,wordt,is becoming,,
136,dood,death,,
137,mag,allowed,,
138,altijd,always,,
139,af,down,,
140,wacht,wait,,
141,geef,give,,
142,z,z,,
143,lk,l,,
144,dag,day,,
145,omdat,because,,
146,zeker,certainly,,
147,zie,see,,
148,allemaal,all of them,,
149,gedaan,done,,
150,oh,Oh,,
151,dank,thanks,,
152,huis,House,,
153,hé,Hey,,
154,zij,she,,
155,jaar,year,,
156,vader,father,,
157,doet,is doing,,
158,zoals,as,,
159,jouw,your,,
160,vrouw,woman,,
161,geld,money,,
162,hun,their,,
163,mr,mr,,
164,god,God,,
165,kunt,can,,
166,keer,time,,
167,dacht,thought,,
168,erg,very,,
169,willen,want,,
170,anders,different,,
171,zitten,to sit,,
172,iedereen,everybody,,
173,één,a,,
174,andere,Others,,
175,zullen,shall,,
176,niks,nothing,,
177,niemand,no one,,
178,wilt,To,,
179,bedankt,thanks,,
180,binnen,within,,
181,beter,better,,
182,spijt,regret,,
183,maak,making,,
184,hallo,Hey,,
185,neem,take,,
186,vind,find,,
187,staat,state,,
188,werk,work,,
189,zich,himself,,
190,moeder,mother,,
191,gezien,seen,,
192,waren,goods,,
193,wilde,wanted to,,
194,praten,to talk,,
195,hele,all,,
196,genoeg,enough,,
197,meneer,Mr.,,
198,bedoel,mean,,
199,klaar,ready,,
200,vinden,find,,
201,kon,could,,
202,mooi,beautiful,,
203,leuk,nice,,
204,luister,listen,,
205,ziet,sees,,
206,toe,to,,
207,na,after,,
208,sorry,Sorry,,
209,elkaar,each other,,
210,blijf,stay,,
211,uur,hour,,
212,zegt,says,,
213,vast,fixed,,
214,drie,tree,,
215,alsjeblieft,please,,
216,alle,all,,
217,natuurlijk,of course,,
218,maakt,makes,,
219,gek,crazy,,
220,helpen,help out,,
221,verdomme,damn,,
222,grote,great,,
223,lang,long,,
224,wist,knew,,
225,dingen,stuff,,
226,helemaal,all the way,,
227,graag,gladly,,
228,eerste,first,,
229,krijgen,to get,,
230,blijven,stay,,
231,werd,became,,
232,zonder,without,,
233,houden,to hold,,
234,naam,name,,
235,vriend,friend,,
236,kijken,look,,
237,beetje,bit,,
238,jongen,boy,,
239,steeds,ever,,
240,auto,car,,
241,goede,well,,
242,snel,fast,,
243,geven,to give,,
244,geweest,been,,
245,achter,behind,,
246,ooit,ever,,
247,wanneer,when,,
248,kinderen,children,,
249,onder,below,,
250,bang,anxious,,
251,ging,went,,
252,hand,hand,,
253,vertellen,to tell,,
254,eten,food,,
255,jongens,boys,,
256,hoor,hearing,,
257,kwam,came,,
258,idee,idea,,
259,o,O,,
260,paar,couple,,
261,zag,saw,,
262,moest,had to,,
263,wereld,world,,
264,zorgen,to care,,
265,deed,did,,
266,gebeurd,happened,,
267,nieuwe,new ones,,
268,vraag,ask,,
269,morgen,tomorrow,,
270,staan,stand,,
271,vragen,ask,,
272,laatste,last,,
273,lijkt,seems,,
274,geweldig,awesome,,
275,want,because,,
276,vandaag,today,,
277,zelf,self,,
278,kun,you,,
279,nemen,take,,
280,beste,Best,,
281,heen,away,,
282,ie,ie,,
283,zelfs,even,,
284,meisje,girl,,
285,ken,ken,,
286,stop,Stop,,
287,rustig,quiet,,
288,enige,some,,
289,buiten,Outside,,
290,thuis,home,,
291,gezegd,said,,
292,kleine,little,,
293,geloof,faith,,
294,eerst,first,,
295,mannen,men,,
296,hadden,had,,
297,samen,together,,
298,vertel,tell,,
299,denken,to think,,
300,halen,get,,
301,hen,them,,
302,eigen,own,,
303,hoop,hope,,
304,zoon,son,,
305,krijg,receive,,
306,denkt,think,,
307,open,Open,,
308,probleem,issue,,
309,elke,every,,
310,zouden,would,,
311,horen,to hear,,
312,pak,business suit,,
313,geleden,ago,,
314,orde,order,,
315,wou,wanted,,
316,bijna,almost,,
317,gelijk,equal,,
318,vrienden,friends,,
319,kant,side,,
320,houdt,keeps,,
321,begrijp,understandable,,
322,politie,law enforcement,,
323,gebeurt,happens,,
324,eigenlijk,actually,,
325,soms,once in a while,,
326,wachten,to wait,,
327,kind,child,,
328,hoofd,head,,
329,vanavond,tonight,,
330,precies,exactly,,
331,geeft,gives,,
332,alsof,as if,,
333,ding,thing,,
334,voel,feel,,
335,gevonden,found it,,
336,probeer,try,,
337,zet,move,,
338,verder,further,,
339,help,Help,,
340,heet,hot,,
341,dagen,days,,
342,familie,family,,
343,haal,get,,
344,pas,only,,
345,werken,to work,,
346,volgende,next one,,
347,krijgt,gets,,
348,gehad,had,,
349,t,t,,
350,eruit,get out,,
351,gehoord,heard,,
352,zat,was sitting,,
353,bel,bell,,
354,hè,Hey,,
355,oude,old,,
356,vermoord,murdered,,
357,vijf,five,,
358,schiet,shoot,,
359,plaats,Place,,
360,manier,way,,
361,stad,city,,
362,gemaakt,made,,
363,hoeveel,How much,,
364,ogen,eyes,,
365,best,best,,
366,zoek,Search,,
367,vroeg,early,,
368,word,become,,
369,jezelf,yourself,,
370,daarom,therefore,,
371,spelen,play,,
372,geloven,to believe,,
373,minuten,minutes,,
374,slecht,bad,,
375,school,school,,
376,pijn,pain,,
377,vindt,finds,,
378,moment,moment,,
379,blij,happy,,
380,welke,which,,
381,kamer,room,,
382,water,water,,
383,kans,opportunity,,
384,schat,darling,,
385,dollar,dollar,,
386,land,country,,
387,vier,four,,
388,werkt,works,,
389,deur,door,,
390,brengen,bring,,
391,broer,brother,,
392,breng,bring,,
393,mooie,beautiful,,
394,zoeken,Search,,
395,lekker,yummy,,
396,later,later on,,
397,wees,orphan,,
398,juist,right,,
399,vooruit,forward,,
400,klootzak,asshole,,
401,volgens,according to,,
402,alstublieft,Please,,
403,groot,big,,
404,ligt,lies,,
405,boven,above,,
406,ergens,somewhere,,
407,spreken,to speak,,
408,blijft,continues,,
409,papa,Daddy,,
410,prima,fine,,
411,handen,hands,,
412,sta,sta,,
413,tussen,between,,
414,praat,talking,,
415,vond,found,,
416,verteld,told,,
417,soort,kind,,
418,zoveel,that much,,
419,week,week,,
420,proberen,to attempt,,
421,problemen,issues,,
422,hulp,help,,
423,echte,real,,
424,kent,knows,,
425,vrouwen,women,,
426,vergeten,to forget,,
427,plan,plan,,
428,mevrouw,Mrs.,,
429,dokter,doctor,,
430,pakken,to grab,,
431,beginnen,to start,,
432,nacht,night,,
433,kop,head,,
434,betekent,means,,
435,klopt,right,,
436,bed,bed,,
437,stoppen,stop,,
438,hoi,Hi,,
439,lopen,walk,,
440,klein,small,,
441,mama,mom,,
442,gebruiken,use,,
443,doden,kill,,
444,vrij,free,,
445,the,the,,
446,liefde,love,,
447,zult,shall,,
448,zorg,care,,
449,zaak,matter,,
450,los,loose,,
451,bellen,dial,,
452,ervan,it,,
453,mis,wrong,,
454,hart,heart,,
455,beneden,down,,
456,verhaal,story,,
457,wakker,awake,,
458,sir,sir,,
459,voordat,prior to,,
460,voorbij,past,,
461,leren,to learn,,
462,vol,full,,
463,tien,ten,,
464,slapen,to sleep,,
465,druk,busy,,
466,zodat,so that,,
467,neer,down,,
468,nummer,number,,
469,hoeft,need,,
470,n,n,,
471,dochter,daughter,,
472,jezus,Jesus,,
473,foto,photo,,
474,vergeet,forgets,,
475,dicht,close,,
476,gelukkig,happy,,
477,snap,snap,,
478,zoiets,something,,
479,gekomen,come,,
480,baby,baby,,
481,gebeuren,to happen,,
482,ok,OK,,
483,jack,jack,,
484,moeilijk,difficult,,
485,meteen,right away,,
486,gezicht,face,,
487,dr,dr,,
488,stel,set,,
489,sinds,since,,
490,zes,six,,
491,begin,get started,,
492,plek,place,,
493,drinken,drink,,
494,hey,hey,,
495,vermoorden,murder,,
496,zaken,Affairs,,
497,begrepen,understood,,
498,ver,far,,
499,hetzelfde,the same,,
500,ander,other,,
501,bezig,busy,,
502,john,John,,
503,liggen,lie,,
504,per,per,,
505,oud,old,,
506,gaf,gave,,
507,eraan,it,,
508,eerder,earlier,,
509,baas,boss,,
510,agent,agent,,
511,oorlog,war,,
512,mond,mouth,,
513,waarschijnlijk,probably,,
514,film,movie,,
515,rust,peace,,
516,zeer,very,,
517,vallen,fall,,
518,sterven,to die,,
519,hond,dog,,
520,mogen,be allowed to,,
521,waarheid,truth,,
522,rond,round,,
523,geluk,luck,,
524,heren,Gentlemen,,
525,jaren,years,,
526,vent,guy,,
527,hoorde,heard,,
528,terwijl,while,,
529,mam,mam,,
530,avond,evening,,
531,nieuws,news,,
532,aardig,nice,,
533,maanden,months,,
534,welkom,welcome,,
535,veilig,safe,,
536,schatje,baby,,
537,fijn,nice,,
538,mogelijk,possible,,
539,stuk,broken,,
540,redden,to rescue,,
541,rest,rest,,
542,hoort,hears,,
543,he,Hey,,
544,bloed,blood,,
545,vriendin,female friend,,
546,stil,quiet,,
547,langs,along,,
548,eerlijk,honestly,,
549,recht,straight,,
550,vandaan,from,,
551,ermee,it,,
552,betalen,Pay,,
553,voelt,feels,,
554,kennen,know,,
555,kerel,guy,,
556,schuld,debt,,
557,buurt,neighborhood,,
558,fout,wrong,,
559,reden,reason,,
560,ouders,parents,,
561,overal,everywhere,,
562,belangrijk,important,,
563,hard,hard,,
564,kapitein,captain,,
565,telefoon,phone,,
566,kreeg,received,,
567,duidelijk,clearly,,
568,new,new,,
569,a,a,,
570,pa,dad,,
571,mezelf,myself,,
572,woord,word,,
573,straks,later,,
574,boek,book,,
575,prachtig,magnificent,,
576,heer,lord,,
577,klinkt,sounds,,
578,erop,on,,
579,anderen,others,,
580,liet,showed,,
581,vanaf,from,,
582,vaak,often,,
583,baan,job,,
584,zin,sentence,,
585,eén,a,,
586,haat,hate,,
587,team,team,,
588,shit,shit,,
589,neemt,take,,
590,deel,part,,
591,voorzichtig,cautious,,
592,rijden,to drive,,
593,zetten,put,,
594,gegeven,given,,
595,geval,case,,
596,enkel,ankle,,
597,houd,love,,
598,president,president,,
599,licht,light,,
600,miljoen,million,,
601,lieverd,darling,,
602,liever,rather,,
603,tweede,second,,
604,geworden,become,,
605,stond,was standing,,
606,noemen,to mention,,
607,dezelfde,same,,
608,erin,it,,
609,mrs,mrs,,
610,lichaam,body,,
611,dames,Women,,
612,miss,miss,,
613,ontmoeten,Meet,,
614,vechten,fight,,
615,trouwen,Marry,,
616,inderdaad,indeed,,
617,ontmoet,meets,,
618,kwaad,pissed off,,
619,meisjes,girls,,
620,weken,weeks,,
621,elk,each,,
622,verloren,lost,,
623,veranderen,change,,
624,nergens,nowhere,,
625,antwoord,answer,,
626,wapen,weapon,,
627,koning,king,,
628,valt,falls,,
629,grappig,funny,,
630,einde,end,,
631,hield,held,,
632,verdomde,damn,,
633,tijdens,while,,
634,schieten,shoot,,
635,ziens,Goodbye,,
636,nieuw,new,,
637,idioot,idiot,,
638,stap,step,,
639,plezier,pleasure,,
640,vertrouwen,trust,,
641,kwijt,lost,,
642,daarna,afterwards,,
643,maakte,made,,
644,mens,man,,
645,kopen,to buy,,
646,naartoe,more,,
647,pap,dad,,
648,vertelde,told,,
649,spel,game,,
650,loopt,runs,,
651,frank,frank,,
652,gevoel,feeling,,
653,begint,begins,,
654,koffie,coffee,,
655,ervoor,before,,
656,slechte,poor,,
657,eet,eat,,
658,ziek,ill,,
659,omhoog,up,,
660,winnen,to win,,
661,lucht,air,,
662,ten,at,,
663,gang,corridor,,
664,trek,pull,,
665,fantastisch,fantastic,,
666,gegaan,gone,,
667,zichzelf,himself,,
668,acht,eight,,
669,goeie,good,,
670,leg,lay,,
671,enkele,a few,,
672,meid,girl,,
673,gebruikt,used,,
674,oom,uncle,,
675,onzin,nonsense,,
676,gisteren,yesterday,,
677,getrouwd,married,,
678,eindelijk,Finally,,
679,voelen,to feel,,
680,york,york,,
681,men,one,,
682,zeven,seven,,
683,zus,sister,,
684,i,i,,
685,normaal,normal,,
686,woorden,words,,
687,nogal,quite,,
688,let,beware,,
689,oke,all right,,
690,val,fall,,
691,muziek,music,,
692,gebeld,called,,
693,daarmee,therewith,,
694,herinner,remember,,
695,grond,ground,,
696,aarde,Earth,,
697,verwacht,expected,,
698,vreemd,strange,,
699,verkeerd,wrong,,
700,hemel,sky,,
701,loop,course,,
702,meen,mean,,
703,nietwaar,not true,,
704,minder,less,,
705,hoezo,how so,,
706,droom,dream,,
707,beloof,promise,,
708,nam,took,,
709,waard,worth,,
710,kantoor,office,,
711,allebei,both,,
712,zomaar,just,,
713,s,s,,
714,pardon,excuse me,,
715,perfect,perfect,,
716,sam,sam,,
717,leeft,lives,,
718,gebruik,use,,
719,half,half,,
720,trots,pride,,
721,begrijpen,understand,,
722,stuur,handlebar,,
723,leger,army,,
724,wapens,weapons,,
725,vroeger,back in the days,,
726,kracht,power,,
727,erbij,there,,
728,vuur,fire,,
729,opnieuw,again,,
730,excuseer,excuse,,
731,lief,sweet,,
732,george,George,,
733,hierheen,here,,
734,gevangenis,prison,,
735,werden,were,,
736,da,da,,
737,lieve,dear,,
738,slaap,sleep,,
739,persoon,person,,
740,joe,joe,,
741,gevraagd,asked,,
742,bedoelt,mean,,
743,noem,call,,
744,ziekenhuis,Hospital,,
745,begon,began,,
746,tv,TV,,
747,serieus,serious,,
748,verlaten,leave,,
749,vertrekken,leave,,
750,moord,murder,,
751,konden,could,,
752,stomme,mute,,
753,gekregen,got,,
754,brengt,brings,,
755,lezen,read,,
756,tom,Tom,,
757,dansen,dancing,,
758,punt,point,,
759,komaan,come on,,
760,charlie,Charlie,,
761,grootste,main,,
762,slim,smart,,
763,gesproken,speaking,,
764,straat,street,,
765,ongeveer,about,,
766,sommige,some,,
767,amerika,America,,
768,stellen,set,,
769,verliezen,to lose,,
770,meest,most,,
771,eentje,one,,
772,generaal,general,,
773,spullen,stuff,,
774,zwarte,black,,
775,david,david,,
776,pistool,pistol,,
777,toekomst,future,,
778,bank,Bank,,
779,degene,the one,,
780,goedemorgen,good morning,,
781,langer,longer,,
782,slechts,only,,
783,informatie,information,,
784,schrijven,write,,
785,ieder,each,,
786,verliefd,in love,,
787,veranderd,changed,,
788,probeerde,tried,,
789,tenminste,at least,,
790,slaan,to beat,,
791,luisteren,listen,,
792,vliegtuig,plane,,
793,kwamen,came,,
794,begrijpt,understands,,
795,makkelijk,easy,,
796,boos,angry,,
797,boot,boat,,
798,geest,spirit,,
799,michael,michael,,
800,gingen,used to go,,
801,ter,to,,
802,ongeluk,accident,,
803,trouwens,Besides,,
804,succes,good luck,,
805,vliegen,travel by plane,,
806,lange,long,,
807,maand,month,,
808,vraagt,asks,,
809,gebeurde,happened,,
810,kijkt,looks,,
811,meester,master,,
812,koud,cold,,
813,onderzoek,research,,
814,kleren,clothes,,
815,lul,dick,,
816,stom,stupid,,
817,spreek,speak,,
818,feest,party,,
819,jawel,Yes,,
820,weinig,few,,
821,liefje,sweetheart,,
822,schip,ship,,
823,behalve,except,,
824,vreselijk,horrible,,
825,bal,ball,,
826,hotel,hotel,,
827,controle,check,,
828,genomen,taken,,
829,wonen,live,,
830,honger,hunger,,
831,sterk,strongly,,
832,juiste,right,,
833,zak,bag,,
834,volgen,to follow,,
835,geheim,secret,,
836,probeert,try,,
837,ene,one,,
838,contact,Contact,,
839,verkopen,to sell,,
840,show,show,,
841,hoef,hoof,,
842,gedood,slain,,
843,welk,which,,
844,iedere,every,,
845,meter,meter,,
846,zolang,so long,,
847,sturen,send,,
848,rot,rot,,
849,begonnen,started,,
850,woont,lives,,
851,absoluut,absolutely,,
852,beschermen,to protect,,
853,bestaat,exists,,
854,dienst,shift,,
855,d,d,,
856,moe,tired,,
857,rug,back,,
858,geboren,born,,
859,naast,next,,
860,afgelopen,past,,
861,wegwezen,get out,,
862,bewijs,proof,,
863,lachen,laugh,,
864,jong,young,,
865,jonge,young,,
866,b,b,,
867,lijken,appear,,
868,erover,about,,
869,gered,saved,,
870,wilden,wild ones,,
871,voorstellen,propose,,
872,reis,trip,,
873,advocaat,lawyer,,
874,afspraak,appointment,,
875,raak,striking,,
876,verkeerde,false,,
877,jimmy,Jimmy,,
878,schelen,care,,
879,gevaarlijk,dangerous,,
880,rij,queue,,
881,voelde,felt,,
882,gestolen,stolen,,
883,kolonel,colonel,,
884,maat,measure,,
885,volg,follow,,
886,gedacht,thought,,
887,dame,Lady,,
888,dragen,to wear,,
889,prijs,price,,
890,lukt,succeed,,
891,kont,ass,,
892,geleerd,learned,,
893,harry,harry,,
894,betaald,paid,,
895,speelt,plays,,
896,hel,hell,,
897,trekken,to pull,,
898,geraakt,hit,,
899,e,e,,
900,mocht,if,,
901,stem,voice,,
902,missen,to miss,,
903,jammer,Unfortunately,,
904,seks,sex,,
905,ma,mom,,
906,bekend,known,,
907,doel,target,,
908,amerikaanse,American,,
909,camera,camera,,
910,leuke,nice,,
911,helpt,help,,
912,regels,rules,,
913,gevaar,Danger,,
914,sla,lettuce,,
915,mike,Mike,,
916,erger,worse,,
917,red,red,,
918,raar,weird,,
919,derde,third,,
920,raken,touch,,
921,arme,poor,,
922,zweer,ulcer,,
923,vertrouw,trust,,
924,paul,paul,,
925,seconden,seconds,,
926,totdat,until,,
927,rennen,run,,
928,paard,horse,,
929,tafel,table,,
930,geweldige,great,,
931,sneller,faster,,
932,steek,sting,,
933,moesten,must,,
934,wagen,car,,
935,grapje,just kidding,,
936,groep,group,,
937,kaart,Map,,
938,moordenaar,killer,,
939,wedstrijd,contest,,
940,via,through,,
941,gefeliciteerd,congratulations,,
942,gaten,holes,,
943,macht,power,,
944,dom,stupid,,
945,nadat,after,,
946,leek,layman,,
947,raad,council,,
948,band,band,,
949,tuurlijk,of course,,
950,zover,so far,,
951,arm,arm,,
952,ruimte,space,,
953,gebracht,brought,,
954,meeste,most,,
955,dromen,to dream,,
956,zodra,as soon,,
957,zwaar,heavy,,
958,kerk,church,,
959,schuldig,guilty,,
960,bob,bob,,
961,rijk,rich,,
962,ziel,soul,,
963,geprobeerd,tried,,
964,oog,eye,,
965,vlucht,flight,,
966,vanuit,from,,
967,vorige,previous,,
968,allen,all,,
969,uh,uh,,
970,herinneren,to remind,,
971,vooral,especially,,
972,meiden,girls,,
973,eind,end,,
974,oma,grandmother,,
975,viel,fell,,
976,zuster,sister,,
977,gelooft,believes,,
978,wet,law,,
979,kapot,Broken,,
980,gooi,throw,,
981,haast,rush,,
982,gedachten,thoughts,,
983,negen,nine,,
984,bewijzen,prove,,
985,eer,honour,,
986,www,www,,
987,brief,letter,,
988,dronken,drunk,,
989,drugs,drugs,,
990,teken,sign,,
991,duurt,takes,,
992,sleutel,key,,
993,peter,Peter,,
994,onmogelijk,impossible,,
995,zee,sea,,
996,ouwe,old,,
997,namen,names,,
998,regel,rule,,
999,lijn,line,,
1000,kost,costs,,
1001,zon,such a,,
1002,klote,sucks,,
1003,links,left,,
1004,speel,play,,
1005,james,james,,
1006,situatie,situation,,
1007,vanwege,because of,,
1008,delen,share,,
1009,deden,did,,
1010,zul,you,,
1011,gemist,missed,,
1012,witte,white,,
1013,mijne,mine,,
1014,warm,hot,,
1015,daarvoor,therefor,,
1016,gast,guest,,
1017,trein,train,,
1018,zeiden,said,,
1019,gewonnen,won,,
1020,huwelijk,wedding,,
1021,geschreven,written,,
1022,direct,straight away,,
1023,draai,twist,,
1024,gestuurd,forwarded,,
1025,bewegen,to move,,
1026,stierf,died,,
1027,gebouw,building,,
1028,lag,was,,
1029,schoenen,shoes,,
1030,diep,deep,,
1031,kalm,calm,,
1032,bus,bus,,
1033,mary,mary,,
1034,benen,legs,,
1035,werkte,worked,,
1036,you,you,,
1037,vannacht,tonight,,
1038,respect,respect,,
1039,spreekt,speaks,,
1040,keuze,choice,,
1041,bedrijf,company,,
